"account","n_res","n_oth","yrs_res_all","yrs_oth_all","yrs_res_min","yrs_oth_min","yrs_res_max","yrs_oth_max"
"0010360000024",0,1,NA,"2009",NA,2009,NA,2009
"0010360000025",0,1,NA,"2009",NA,2009,NA,2009
"0010630000003",0,1,NA,"2012",NA,2012,NA,2012
"0010690000004",0,2,NA,"2015",NA,2015,NA,2015
"0010690000006",0,1,NA,"2015",NA,2015,NA,2015
"0010820000001",0,1,NA,"2015",NA,2015,NA,2015
"0010820000006",0,2,NA,"2015",NA,2015,NA,2015
"0011010000001",0,4,NA,"2015",NA,2015,NA,2015
"0011360000001",0,1,NA,"2005",NA,2005,NA,2005
"0011570000008",0,2,NA,"2015",NA,2015,NA,2015
"0011570000009",0,2,NA,"2015",NA,2015,NA,2015
"0011770000005",0,1,NA,"2012",NA,2012,NA,2012
"0011770000006",0,1,NA,"2008",NA,2008,NA,2008
"0012150000003",0,1,NA,"2012",NA,2012,NA,2012
"0012330000006",1,0,"2013",NA,2013,NA,2013,NA
"0012430000009",0,1,NA,"2009",NA,2009,NA,2009
"0012440000001",0,1,NA,"2014",NA,2014,NA,2014
"0012570000001",0,1,NA,"2012",NA,2012,NA,2012
"0012600000001",0,1,NA,"2008",NA,2008,NA,2008
"0012610000009",0,1,NA,"2008",NA,2008,NA,2008
"0012620000001",0,1,NA,"2008",NA,2008,NA,2008
"0012630000008",0,3,NA,"2008",NA,2008,NA,2008
"0020020000019",0,1,NA,"2015",NA,2015,NA,2015
"0020140000001",0,1,NA,"2013",NA,2013,NA,2013
"0020240000006",0,1,NA,"2015",NA,2015,NA,2015
"0020340000009",0,1,NA,"2016",NA,2016,NA,2016
"0020400000001",1,0,"2008",NA,2008,NA,2008,NA
"0020400000002",0,3,NA,"2008",NA,2008,NA,2008
"0020410000001",0,3,NA,"2015",NA,2015,NA,2015
"0020420000006",0,1,NA,"2012",NA,2012,NA,2012
"0020480000002",0,3,NA,"2015",NA,2015,NA,2015
"0020490000017",0,1,NA,"2015",NA,2015,NA,2015
"0020560000006",4,0,"2011",NA,2011,NA,2011,NA
"0020650000008",0,1,NA,"2011",NA,2011,NA,2011
"0020680000003",0,1,NA,"2014",NA,2014,NA,2014
"0020690000003",0,1,NA,"2011",NA,2011,NA,2011
"0020720000013",1,0,"2010",NA,2010,NA,2010,NA
"0020780000001",0,1,NA,"2007",NA,2007,NA,2007
"0020850000003",0,1,NA,"2009",NA,2009,NA,2009
"0020910000009",0,1,NA,"2011",NA,2011,NA,2011
"0021020000001",0,1,NA,"2010",NA,2010,NA,2010
"0021020000006",0,1,NA,"2015",NA,2015,NA,2015
"0021150000001",0,1,NA,"2012",NA,2012,NA,2012
"0021180000009",0,1,NA,"2013",NA,2013,NA,2013
"0021260000003",1,0,"2008",NA,2008,NA,2008,NA
"0021280000004",0,1,NA,"2011",NA,2011,NA,2011
"0021470000006",1,0,"2009",NA,2009,NA,2009,NA
"0021470000009",1,0,"2008",NA,2008,NA,2008,NA
"0021470000011",1,0,"2009",NA,2009,NA,2009,NA
"0021480000003",1,0,"2015",NA,2015,NA,2015,NA
"0021580000001",0,1,NA,"2013",NA,2013,NA,2013
"0021650000012",0,1,NA,"2016",NA,2016,NA,2016
"0021660000004",2,0,"2009",NA,2009,NA,2009,NA
"0021660000009",2,0,"2016",NA,2016,NA,2016,NA
"0021730000013",0,2,NA,"2011",NA,2011,NA,2011
"0021780000009",0,2,NA,"2013",NA,2013,NA,2013
"0021830000007",0,1,NA,"2015",NA,2015,NA,2015
"0021920000008",1,0,"2010",NA,2010,NA,2010,NA
"0022030000001",1,0,"2011",NA,2011,NA,2011,NA
"0022070000002",1,0,"2014",NA,2014,NA,2014,NA
"0022130000005",0,1,NA,"2013",NA,2013,NA,2013
"0022190000008",0,2,NA,"2015",NA,2015,NA,2015
"0022210000009",7,0,"2011, 2015",NA,2011,NA,2015,NA
"0022220000001",0,2,NA,"2010, 2011",NA,2010,NA,2011
"0022330000004",0,1,NA,"2011",NA,2011,NA,2011
"0022410000001",0,1,NA,"2010",NA,2010,NA,2010
"0022500000011",0,1,NA,"2015",NA,2015,NA,2015
"0022600000004",0,1,NA,"2010",NA,2010,NA,2010
"0022620000017",0,1,NA,"2010",NA,2010,NA,2010
"0030040000004",1,0,"2008",NA,2008,NA,2008,NA
"0030160000002",1,0,"2009",NA,2009,NA,2009,NA
"0030220000003",1,0,"2012",NA,2012,NA,2012,NA
"0030220000004",1,0,"2016",NA,2016,NA,2016,NA
"0030220000006",2,0,"2011",NA,2011,NA,2011,NA
"0030270000001",1,0,"2009",NA,2009,NA,2009,NA
"0030290000007",2,0,"2010",NA,2010,NA,2010,NA
"0030370000002",1,0,"2016",NA,2016,NA,2016,NA
"0030370000008",1,0,"2014",NA,2014,NA,2014,NA
"0030370000011",2,0,"2014, 2015",NA,2014,NA,2015,NA
"0030370000012",1,0,"2014",NA,2014,NA,2014,NA
"0030400000008",1,0,"2013",NA,2013,NA,2013,NA
"0030490000006",1,0,"2009",NA,2009,NA,2009,NA
"0030540000009",1,0,"2011",NA,2011,NA,2011,NA
"0030570000014",1,0,"2014",NA,2014,NA,2014,NA
"0030610000001",1,0,"2013",NA,2013,NA,2013,NA
"0030640000006",2,0,"2009",NA,2009,NA,2009,NA
"0030640000010",2,0,"2012, 2013",NA,2012,NA,2013,NA
"0030710000001",0,1,NA,"2010",NA,2010,NA,2010
"0030710000015",0,1,NA,"2011",NA,2011,NA,2011
"0031090000006",0,1,NA,"2015",NA,2015,NA,2015
"0031090000020",1,0,"2014",NA,2014,NA,2014,NA
"0031390020034",0,1,NA,"2014",NA,2014,NA,2014
