"Code","CodeAlt","Description"
"1D","D1","Real, Qualified Agricultural Land"
"1D1","D1","Real, Qualified Agricultural Land"
"A1","A1","Real, Residential, Single-Family"
"A2","A2","Real, Residential, Mobile Homes"
"A3","A1","Real, Residential, Auxiliary Buildings"
"A4","A1","Real, Residential, 1/2 Duplex"
"B1","B1","Real, Residential, Multi-Family"
"B2","B2","Real, Residential, Two-Family"
"B3","B3","Real, Residential, Three-Family"
"B4","B4","Real, Residential, Four- or More-Family"
"C1","C1","Real, Vacant Lots/Tracts (In City)"
"C2","C2","Real, Vacant Commercial"
"C3","C3","Real, Vacant Lots/Tracts (Not in City)"
"D2","D2","Real, Unqualified Agricultural Land"
"E1","E1","Real, Farm & Ranch Improved"
"F1","F1","Real, Commercial"
"F2","F2","Real, Industrial"
"HH","PT","Subdivision Header"
"J1","J1","Real & Tangible Personal, Utility Water Systems"
"J2","J2","Gas Companies"
"J3","J3","Electric Companies"
"J4","J4","Telephone Companies"
"J5","J5","Railroads"
"J6","J6","Pipelines"
"M3","M3","Personal Prop. Mobile Home"
"O1","O1","Inventory Vacant"
"O2","O2","Inventory Improved"
"TMBR","D1","Real, Qualified Agricultural Land"
"U0","U0","Unknown"
"X1","XV","Other Exempt (Government)"
"X2","XV","Other Exempt (Charitable)"
"X3","XV","Other Exempt (Religious)"
"X4","XV","Other Exempt (Cemetery)"
"X7","XV","Other Exempt (Historical)"
"XA","XA ÿ","Public Property for Housing Indigent Persons"
"XB","XB","Income Producing Personal Property (<$500)"
"XC","XC","Mineral Interest (<$500)"
"XD","XD ÿ","Improving Property for Housing w/ Volunteer Labor"
"XE","XE ÿ","Community Housing Development Organizations"
"XF","XF ÿ","Assisting Ambulatory Health Care Centers"
"XG","XG ÿ","Primarily Performing Charitable Functions"
"XH","XH ÿ","Developing Model Colonia Subdivisions"
"XI","XI ÿ","Youth Spiritual, Mental and Physical Development"
"XJ","XJ ÿ","Private Schools"
"XL","XL ÿ","Economic Development Services to Local Community"
"XM","XM ÿ","Marine Cargo Containers"
"XN","XN","Motor Vehicles Leased for Personal Use"
"XO","XO","Moter Vehicles for Income Production and Personal Use"
"XP","XP ÿ","Offshore Drilling Equipment Not In Use"
"XQ","XQ ÿ","Intracoastal Waterway Dredge Disposal Site"
"XR","XR ÿ","Nonprofit Water or Wastewater Corporations"
"XS","XS","Raw Cocoa and Green Coffee Held in Harris County"
"XT","XT ÿ","Limitation on Taxes in Certain Municipalities"
"XU","XU ÿ","Miscellaneous Exemptions"
"XV","XV ÿ","Other Exempt (Incl Public, Religious, Charitable)"
"Z0","C1","Condo - Without Improvements"
"Z1","A1","Condo - Apartment Conversion"
"Z2","A1","Condo - Fee Simple Townhouse"
"Z3","A1","Condo - Townhouse (2+ stories)"
"Z4","A1","Condo - Apartment Style"
"Z5","A1","Condo - High Rise"
