"Code","Description"
"001","HOUSTON ISD"
"002","DEER PARK ISD"
"003","WALLER ISD"
"004","CYPRESS-FAIRBANKS ISD"
"005","CROSBY ISD"
"006","CHANNELVIEW ISD"
"007","NEW CANEY ISD"
"008","ALIEF ISD"
"009","ALDINE ISD"
"012","HOUSTON ISD (FORMERLY NFISD)"
"015","GALENA PARK ISD"
"016","GOOSE CREEK CISD"
"017","KLEIN ISD"
"018","HUMBLE ISD"
"019","KATY ISD"
"020","LA PORTE ISD"
"021","PASADENA ISD"
"023","SHELDON ISD"
"024","SPRING ISD"
"025","SPRING BRANCH ISD"
"026","TOMBALL ISD"
"027","CLEAR CREEK ISD"
"028","DAYTON ISD"
"029","PEARLAND ISD"
"030","HUFFMAN ISD"
"031","STAFFORD MSD"
"032","FORT BEND ISD"
"033","HARRIS CO EDUC DIST"
"034","CHAMBERS COUNTY"
"035","FORT BEND COUNTY"
"036","GALVESTON COUNTY"
"037","LIBERTY COUNTY"
"038","MONTGOMERY COUNTY"
"039","WALLER COUNTY"
"040","HARRIS COUNTY"
"041","HARRIS CO FLOOD CNTRL"
"042","PORT OF HOUSTON AUTHY"
"043","HARRIS CO HOSP DIST"
"044","HARRIS CO EDUC DEPT"
"045","LONE STAR COLLEGE SYS"
"046","LEE JR COLLEGE DIST"
"047","SAN JACINTO COM COL D"
"048","HOU COMMUNITY COLLEGE"
"049","BRAZORIA COUNTY"
"050","NOT A JUR"
"051","CITY OF BAYTOWN"
"052","CITY OF BELLAIRE"
"053","BUNKER HILL VILLAGE"
"054","CITY OF DEER PARK"
"055","HEDWIG VILLAGE"
"056","CITY OF EL LAGO"
"057","CITY OF GALENA PARK"
"058","CITY OF FRIENDSWOOD"
"059","CITY OF PEARLAND"
"060","HILSHIRE VILLAGE"
"061","CITY OF HOUSTON"
"062","CITY OF HUMBLE"
"063","CITY OF KATY"
"064","MISSOURI CITY"
"065","HUNTERS CREEK VILLAGE"
"066","CITY OF JACINTO CITY"
"067","CITY OF LEAGUE CITY"
"068","CITY OF MEADOWS"
"069","NOT USED"
"070","JERSEY VILLAGE"
"071","CITY OF LAPORTE"
"072","CITY OF MORGANS POINT"
"073","CITY OF NASSAU BAY"
"074","CITY OF PASADENA"
"075","PINEY POINT VILLAGE"
"076","CITY OF SEABROOK"
"077","CITY OF SHOREACRES"
"078","CITY OF SOUTH HOUSTON"
"079","CITY OF SOUTHSIDE PL"
"080","CITY OF SPRING VALLEY"
"081","CITY OF STAFFORD"
"082","TAYLOR LAKE VILLAGE"
"083","CITY OF TOMBALL"
"084","CITY OF WEBSTER"
"085","WEST UNIVERSITY PLACE"
"086","CITY OF WALLER"
"100","HC MUD 421"
"101","ADDICKS UD"
"102","ALDINE PUD"
"103","ARCADIAN GARDENS MUD"
"104","HC MUD 256"
"105","HC MUD 264"
"106","HC MUD 502"
"107","HC MUD 272"
"108","HC MUD 255"
"109","HC MUD 259"
"110","BAKER ROAD MUD"
"111","BAMMEL UD"
"112","BARKER-CYPRESS MUD"
"113","BAYFIELD PUD (061)"
"114","BAYSHORE MUD (071)"
"115","HC MUD 499"
"116","BEECHNUT MUD"
"117","BILMA PUD"
"118","BISSONNET MUD"
"119","BRAES UD (061)"
"120","WEST RANCH MGMT DIST"
"121","BRIDGESTONE MUD"
"122","HC MUD 263"
"123","HC MUD 266 (061)"
"124","BAYBROOK MUD 1"
"125","THE WOODLANDS TOWNSHIP"
"126","HC MUD 341 - INACTIVE"
"127","HC MUD 265"
"128","HC MUD 250"
"129","HC MUD 276"
"130","HC MUD 277"
"131","CNP UD"
"132","CANDLEWOOD MUD (061)"
"133","CARPENTERS BAYOU MUD - INACTIVE"
"134","CASTLEWOOD MUD"
"135","CEDAR BAYOU PARK UD"
"136","CHARTERWOOD MUD"
"137","CHELFORD CITY MUD"
"138","CHELFORD ONE MUD"
"139","CHIMNEY HILL MUD"
"140","CIMARRON MUD"
"141","CLAY ROAD MUD"
"142","CLEAR LAKE CITY WA"
"143","CLEAR WOODS ID (058)"
"144","COLLEGE VIEW MUD(071)"
"145","CORNERSTONES MUD"
"146","CROSBY MUD"
"147","CY-CHAMP PUD"
"148","CYPRESS CREEK UD"
"149","CYPRESS FOREST PUD"
"150","CYPRESS HILL MUD 1"
"151","CYPRESS KLEIN UD"
"152","CYPRESSWOOD UD"
"153","CAMFIELD MUD"
"154","LOWER KIRBY PEARLAND MGMT DIST"
"155","HC MUD 403"
