"account","permitID","agencyID","permitStatus","desc","stateClass","permitType","propertyType","issueDate","year","siteNo","sitePrefix","siteStreet","siteType","siteSuffix","siteApt"
"0010360000024","1","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"04/02/2008",2009,"609",NA,"PRESTON",NA,"ST",NA
"0010360000025","1","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"04/02/2008",2009,"609",NA,"PRESTON",NA,"ST",NA
"0010630000003","1290906","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"11/17/2011",2012,"510",NA,"TEXAS",NA,"ST",NA
"0010690000004","1","000","C","DEMO IN PROGRESS 1/2014","F1","33",NA,"01/08/2014",2015,NA,NA,NA,NA,NA,NA
"0010690000004","1382823","061","C","DEMO RES/SEWER DISC",NA,"33",NA,"12/27/2013",2015,"608",NA,"FANNIN",NA,"ST",NA
"0010690000006","1","000","C","DEMO IN PROGRESS 1/2013","F1","33",NA,"01/08/2014",2015,NA,NA,NA,NA,NA,NA
"0010820000001","1399410","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"05/01/2014",2015,"717",NA,"MILAM",NA,"ST",NA
"0010820000006","1372944","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"10/01/2013",2015,"811",NA,"RUSK",NA,"ST",NA
"0010820000006","1396692","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"04/22/2014",2015,"722",NA,"TRAVIS",NA,"ST",NA
"0011010000001","1418468","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"08/18/2014",2015,"1618",NA,"TEXAS",NA,"ST",NA
"0011010000001","1421827","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"10/29/2014",2015,"609",NA,"CRAWFORD",NA,"ST",NA
"0011010000001","1422106","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"10/03/2014",2015,"1618",NA,"TEXAS",NA,"ST","BLD A"
"0011010000001","1422107","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"10/03/2014",2015,"1618",NA,"TEXAS",NA,"ST","BLD B"
"0011360000001","933310","061","C","DEMO NON-LOAD BEARING/NON-FIRE WALL",NA,"33",NA,"08/03/2004",2005,"1021",NA,"MAIN",NA,"ST",NA
"0011570000008","1405458","061","C","DEMO RES/SEWER DISC",NA,"33",NA,"06/03/2014",2015,"609",NA,"CHENEVERT",NA,"ST",NA
"0011570000008","1406612","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"06/17/2014",2015,"609",NA,"CHENEVERT",NA,"ST",NA
"0011570000009","1405460","061","C","DEMO RES/SEWER DISC",NA,"33",NA,"06/03/2014",2015,"607",NA,"CHENEVERT",NA,"ST",NA
"0011570000009","1406614","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"06/17/2014",2015,"607",NA,"CHENEVERT",NA,"ST",NA
"0011770000005","1277502","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"07/11/2011",2012,"801",NA,"CHARTRES",NA,"ST",NA
"0011770000006","1127238","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"10/12/2007",2008,"815",NA,"CHARTRES",NA,"ST",NA
"0012150000003","1291030","061","C","DEMO BLD / SEWER DISC",NA,"33",NA,"11/21/2011",2012,"2301",NA,"MCKINNEY",NA,"ST",NA
"0012330000006","1299109","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"02/08/2012",2013,"1121",NA,"CHARTRES",NA,"ST",NA
"0012430000009","1172030","061","C","DEMO COMM BLD/SEWER DISC",NA,"33",NA,"11/12/2008",2009,"1101",NA,"MAIN",NA,"ST",NA
"0012440000001","1356711","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"06/05/2013",2014,"1110",NA,"MAIN",NA,"ST",NA
"0012570000001","1250330","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"11/24/2010",2012,"711",NA,"POLK",NA,"ST",NA
"0012600000001","1126644","061","C","DEMO PARKING LOT",NA,"33",NA,"08/07/2007",2008,"1201",NA,"MAIN",NA,"ST",NA
"0012610000009","1126646","061","C","DEMO PARKING LOT",NA,"33",NA,"08/07/2007",2008,"1201",NA,"FANNIN",NA,"ST",NA
"0012620000001","1126645","061","C","DEMO PARKING LOT",NA,"33",NA,"08/07/2007",2008,"1201",NA,"SAN JACINTO",NA,"ST",NA
"0012630000008","1125864","061","C","DEMO COMM/SEWER DISC",NA,"33",NA,"05/09/2007",2008,"1211",NA,"CAROLINE",NA,"ST",NA
"0012630000008","1125871","061","C","DEMO COMM/SEWER DISC",NA,"33",NA,"05/09/2007",2008,"1215",NA,"CAROLINE",NA,"ST",NA
