Code,Description
A,Business Personal Property
B,Mobile Homes
C,Pipelines
D,Railroads
E,Minerals
F,Vessels
G,Commercial Aircraft
H,Private Aircraft
I,Leased Equipment
J,Private Water Systems
K,Gas Distribution
L,Light Manufacturing
M,Telephone Company
N,Stored Products (WHSE)
O,Tank Farms (Products Inside Tanks)
P,Stored Pipe
Q,Dealer Inventory
R,Real Property Other Mineral Reserves
S,Billboards
T,Vehicles
V,General Industrial
W,Electrical Transmission / Distribution Lines
X,Major CableTV Systems
Y,"Radio, Cellular, TV and Cable"
Z,Multi-Locations
