account,permitID,agencyID,permitStatus,desc,permitType,issueDate,year,siteNo,siteStreet,siteSuffix,streetAddress,fullAddress
10360000024,1,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,4/2/2008,2009,609,PRESTON,ST,609 PRESTON ST,"609 PRESTON ST, Houston, Texas"
10360000025,1,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,4/2/2008,2009,609,PRESTON,ST,609 PRESTON ST,"609 PRESTON ST, Houston, Texas"
10630000003,1290906,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,11/17/2011,2012,510,TEXAS,ST,510 TEXAS ST,"510 TEXAS ST, Houston, Texas"
10690000004,1382823,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Commercial Demolition,12/27/2013,2015,608,FANNIN,ST,608 FANNIN ST,"608 FANNIN ST, Houston, Texas"
10820000001,1399410,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,5/1/2014,2015,717,MILAM,ST,717 MILAM ST,"717 MILAM ST, Houston, Texas"
10820000006,1372944,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,10/1/2013,2015,811,RUSK,ST,811 RUSK ST,"811 RUSK ST, Houston, Texas"
10820000006,1396692,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,4/22/2014,2015,722,TRAVIS,ST,722 TRAVIS ST,"722 TRAVIS ST, Houston, Texas"
11010000001,1418468,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,8/18/2014,2015,1618,TEXAS,ST,1618 TEXAS ST,"1618 TEXAS ST, Houston, Texas"
11010000001,1421827,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,10/29/2014,2015,609,CRAWFORD,ST,609 CRAWFORD ST,"609 CRAWFORD ST, Houston, Texas"
11010000001,1422106,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,10/3/2014,2015,1618,TEXAS,ST,1618 TEXAS ST,"1618 TEXAS ST, Houston, Texas"
11010000001,1422107,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,10/3/2014,2015,1618,TEXAS,ST,1618 TEXAS ST,"1618 TEXAS ST, Houston, Texas"
11360000001,933310,CITY OF HOUSTON,Complete,DEMO NON-LOAD BEARING/NON-FIRE WALL,Commercial Demolition,8/3/2004,2005,1021,MAIN,ST,1021 MAIN ST,"1021 MAIN ST, Houston, Texas"
11570000008,1405458,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Commercial Demolition,6/3/2014,2015,609,CHENEVERT,ST,609 CHENEVERT ST,"609 CHENEVERT ST, Houston, Texas"
11570000008,1406612,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,Commercial Demolition,6/17/2014,2015,609,CHENEVERT,ST,609 CHENEVERT ST,"609 CHENEVERT ST, Houston, Texas"
11570000009,1405460,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Commercial Demolition,6/3/2014,2015,607,CHENEVERT,ST,607 CHENEVERT ST,"607 CHENEVERT ST, Houston, Texas"
