account,permitID,agencyID,permitStatus,desc,permitType,issueDate,year,siteNo,siteStreet,siteSuffix,streetAddress,fullAddress,lon,lat,address,zip
1.90E+11,1378417,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISCONNECT,Commercial Demolition,11/21/2013,2014,2519,MCGOWEN,ST,2519 MCGOWEN ST,"2519 MCGOWEN ST, Houston, Texas",-95.3604975,29.7373817,"2519 mcgowen st, houston, tx 77004, usa",77004
6.01E+11,1198526,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,6/30/2009,2010,1907,LAMAR,ST,1907 LAMAR ST,"1907 LAMAR ST, Houston, Texas",-95.3602753,29.7519789,"1907 lamar st, houston, tx 77010, usa",77010
7.10E+11,1274878,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,6/17/2011,2012,605,BLUE BELL,RD,605 BLUE BELL RD,"605 BLUE BELL RD, Houston, Texas",-95.4109316,29.9057458,"605 blue bell rd, houston, tx 77037, usa",77037
6.90E+11,1204915,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,8/25/2009,2010,305,GLENWOOD,DR,305 GLENWOOD DR,"305 GLENWOOD DR, Houston, Texas",-95.4227976,29.7646278,"305 glenwood dr, houston, tx 77007, usa",77007
1.51E+11,1424008,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,11/13/2014,2015,5002,LEE,ST,5002 LEE ST,"5002 LEE ST, Houston, Texas",-95.4645525,29.831802,"5002 nina lee ln, houston, tx 77092, usa",77092
6.61E+11,1136949,CITY OF HOUSTON,Complete,DEMO RES / SEWER DISC,Residential Demolition,2/18/2008,2010,202,ENGLISH,ST,202 ENGLISH ST,"202 ENGLISH ST, Houston, Texas",-95.369117,29.807578,"202 english st, houston, tx 77009, usa",77009
7.71E+11,1126509,CITY OF HOUSTON,Complete,DEMO RES/ SEWER DISC,Residential Demolition,7/24/2007,2008,5530,NAVARRO,ST,5530 NAVARRO ST,"5530 NAVARRO ST, Houston, Texas",-95.4748525,29.7340527,"5530 navarro st, houston, tx 77056, usa",77056
5.72E+11,1350487,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,4/9/2013,2014,405,FENN,ST,405 FENN ST,"405 FENN ST, Houston, Texas",-95.404346,29.829119,"405 fenn st, houston, tx 77018, usa",77018
3.01E+11,3,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,2/28/2012,2013,505,MALONE,ST,505 MALONE ST,"505 MALONE ST, Houston, Texas",-95.4195342,29.7667343,"505 malone st, houston, tx 77007, usa",77007
7.73E+11,1,ERROR: KEY NOT FOUND,Complete,DEMO,Residential Demolition,8/19/2009,2010,510,NELLDA,NA,510 NELLDA NA,"510 NELLDA NA, Houston, Texas",-95.40657,29.888165,"510 w nelda rd, houston, tx 77037, usa",77037
6.51E+11,1331942,CITY OF HOUSTON,Complete,DEMO RES/ SEWER DICS,Residential Demolition,11/6/2012,2013,5008,LAVENDER,ST,5008 LAVENDER ST,"5008 LAVENDER ST, Houston, Texas",-95.3204006,29.8067756,"5008 lavender st, houston, tx 77026, usa",77026
9.53E+11,1143721,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,Residential Demolition,5/15/2008,2009,14311,BUFFALO SPEEDWAY,NA,14311 BUFFALO SPEEDWAY NA,"14311 BUFFALO SPEEDWAY NA, Houston, Texas",-95.3848591,29.7365031,"401 branard st #117, houston, tx 77006, usa",77006
